node_id,x_coord,y_coord
220,6452617.281,1872010.805
221,6452635.076,1871996.294
222,6452653.223,1871982.218
223,6452671.37,1871968.142
224,6452689.516,1871954.067
225,6452707.663,1871939.991
226,6452725.81,1871925.915
227,6452743.956,1871911.839
228,6452762.103,1871897.763
229,6452780.25,1871883.687
230,6452798.827,1871870.188
231,6452817.477,1871856.786
232,6452836.127,1871843.384
233,6452854.776,1871829.981
234,6452873.426,1871816.579
235,6452892.076,1871803.177
236,6452910.725,1871789.775
237,6452929.375,1871776.372
238,6452948.499,1871763.705
239,6452968.401,1871752.245
240,6452988.303,1871740.785
241,6453008.206,1871729.325
242,6453028.108,1871717.866
243,6453048.01,1871706.406
244,6453067.913,1871694.946
245,6453087.815,1871683.486
246,6453107.895,1871672.369
247,6453128.722,1871662.691
248,6453149.549,1871653.012
249,6453170.376,1871643.334
250,6453191.203,1871633.656
251,6453212.03,1871623.978
252,6453232.857,1871614.299
253,6453254.066,1871605.507
254,6453275.397,1871596.995
255,6453300.37,1871587.03
256,6451051.36,1873429.56
257,6451064.82,1873410.952
258,6451079.316,1873393.166
259,6451094.38,1873375.831
260,6451109.444,1873358.496
261,6451124.509,1873341.161
262,6451139.573,1873323.826
263,6451154.637,1873306.491
264,6451170.415,1873289.805
265,6451186.243,1873273.165
266,6451202.071,1873256.524
267,6451217.899,1873239.884
268,6451233.727,1873223.243
269,6451249.555,1873206.602
270,6451265.382,1873189.962
271,6451281.351,1873173.461
272,6451297.947,1873157.586
273,6451314.542,1873141.712
274,6451331.138,1873125.837
275,6451347.734,1873109.962
276,6451364.33,1873094.087
277,6451380.926,1873078.213
278,6451397.885,1873062.729
279,6451414.956,1873047.367
280,6451432.028,1873032.005
281,6451449.1,1873016.643
282,6451466.172,1873001.281
283,6451483.243,1872985.919
284,6451500.315,1872970.558
285,6451517.387,1872955.196
286,6451534.54,1872939.925
287,6451551.753,1872924.721
288,6451568.965,1872909.517
289,6451586.177,1872894.313
290,6451603.39,1872879.109
291,6451620.602,1872863.905
292,6451637.815,1872848.701
293,6451655.027,1872833.497
294,6451672.239,1872818.292
295,6451689.452,1872803.088
296,6451706.664,1872787.884
297,6451723.877,1872772.68
298,6451741.112,1872757.502
299,6451758.428,1872742.416
300,6451775.745,1872727.331
301,6451793.061,1872712.245
302,6451810.378,1872697.16
303,6451827.694,1872682.074
304,6451845.01,1872666.989
305,6451862.327,1872651.903
306,6451879.643,1872636.818
307,6451896.96,1872621.733
308,6451914.276,1872606.647
309,6451931.586,1872591.553
310,6451948.87,1872576.432
311,6451966.155,1872561.31
312,6451983.44,1872546.188
313,6452000.725,1872531.067
314,6452018.01,1872515.945
315,6452035.295,1872500.823
316,6452052.58,1872485.702
317,6452069.865,1872470.58
318,6452087.15,1872455.458
319,6452104.434,1872440.337
320,6452121.719,1872425.215
321,6452139.004,1872410.093
322,6452156.289,1872394.972
323,6452173.574,1872379.85
324,6452190.859,1872364.729
325,6452208.144,1872349.607
326,6452225.429,1872334.485
327,6452242.714,1872319.364
328,6452259.998,1872304.242
329,6452277.283,1872289.12
330,6452294.584,1872274.017
331,6452311.92,1872258.954
332,6452329.255,1872243.89
333,6452346.591,1872228.826
334,6452363.926,1872213.762
335,6452381.261,1872198.698
336,6452398.597,1872183.635
337,6452415.932,1872168.571
338,6452433.267,1872153.507
339,6452450.596,1872138.436
340,6452467.785,1872123.205
341,6452484.974,1872107.974
342,6452502.163,1872092.744
343,6452519.351,1872077.513
344,6452536.54,1872062.282
345,6452553.835,1872047.178
346,6452571.826,1872032.903
347,6452589.817,1872018.629
348,6452607.807,1872004.354
349,6452625.798,1871990.08
350,6452643.789,1871975.805
351,6452661.78,1871961.531
352,6452679.771,1871947.256
353,6452697.762,1871932.982
354,6452716.022,1871919.055
355,6452734.335,1871905.196
356,6452752.647,1871891.336
357,6452770.96,1871877.477
358,6452789.272,1871863.617
359,6452807.584,1871849.758
360,6452825.897,1871835.898
361,6452844.209,1871822.038
362,6452862.521,1871808.179
363,6452881.591,1871795.402
364,6452900.897,1871782.964
365,6452920.203,1871770.526
366,6452939.509,1871758.088
367,6452958.815,1871745.65
368,6452978.121,1871733.212
369,6452997.427,1871720.773
370,6453017.069,1871708.906
371,6453037.317,1871698.067
372,6453057.564,1871687.229
373,6453077.812,1871676.391
374,6453098.059,1871665.553
375,6453118.307,1871654.715
376,6453138.555,1871643.876
377,6453159.44,1871634.358
378,6453180.508,1871625.215
379,6453201.576,1871616.073
380,6453222.644,1871606.931
